ingredient,adulterant,count
Ylang ylang oil qualities (Cananga odorata subsp. genuina),"Cananga oil (Cananga odorata), ylang ylang oil tails, and ylang ylang oil reconstitutions",1
Yogurt (ovine),Milk (bovine),1
Yogurt candy,Melamine,1
alpha-Ionone (natural),Synthetic or semi-synthetic alpha-ionone,1
Wheat gluten*,Cyromazine,1
Wheat gluten*,Amidinourea,1
Vodka,Non-authentic vodka,1
Wheat germ oil,Oil from non-authentic botanical origin,1
Walnut oil,Grapeseed oil (desterolilzed),1
Walnut oil,Palm oil (desterolilzed),1
Walnut oil,Soybean oil (desterolilzed),1
Walnut oil,Sunflower oil (desterolilzed),1
Walnut oil,Vegetable oils of non-authentic botanical or geographic origin,1
Walnuts,Concrete,1
Wheat,"Nitrogen containing fertilizers (urea, ammonia, or ammonia salts)",1
Wheat,Urea,1
Wheat bran,Melamine,1
Wheat flour,Amidinourea,1
Wheat flour,Biuret,1
Wheat flour,Chalk,1
Wheat flour,Chalk powder,1
Wheat flour,Cyromazine,1
Wheat flour,Dicyandiamide,1
Wheat flour,Melamine,1
Wheat flour,Pulverized lime,1
Wheat flour,Triuret,1
Wheat flour,Urea,1
"Wheat flour (common, Triticum aestivum)",Melamine,1
"Wheat flour (durum, Triticum durum)",Melamine,1
Toned milk,Detergent,1
Tomato sauce,Sudan I dye,1
Tomato powder,Maltodextrin,1
Soymilk,Hydrolyzed leather,1
Spelt flour,Wheat flour,1
Spice mixtures,Lead chromate,1
Spices,Brick dust,1
Spices,Buckwheat,1
Spices,Carbonate of lime,1
Spices,Clay,1
Spices,Coconut hulls,1
Spices,Cracker meal,1
Spices,Flour,1
Spices,Ground coconut shells,1
Spices,Ground corn,1
Spices,Ground mustard husks,1
Spices,Ground olive stone,1
Spices,Ground peanut shells,1
Spices,Ground pepper husks,1
Spices,Ground rice,1
Spices,Gypsum,1
Spices,Peanut shells,1
Spices,Turmeric,1
"Spices, general",Artificial colors,1
"Spices, general",Bran or saw dust,1
Spearmint oil* (Mentha spicata),#NAME?,1
Soybeans,Non-authentic material,1
Thyme oil* (Thymus spp.),para-Cymene and thymol,1
Soybean oil*,Vegetable oils of non-authentic botanical or geographic origin,1
Sole fish,Non-authentic fish species,1
Sour cherry juice,Juice of non-authentic botanical origin,1
South American hake (Macruronus magellanicus),Hake fish of non-authentic species,1
Soy flour,Melamine and related compounds,1
Soy milk,Bovine milk proteins,1
Soy milk,Cyanuric acid,1
Soy milk,Melamine,1
Soy milk,Milk (bovine),1
Soy milk,Non-authentic milk (cow),1
Soy protein*,Amidinourea,1
Soy protein*,Biuret,1
Soy protein*,Cyanuric acid,1
Soy protein*,Cyromazine,1
Soy protein*,Dicyandiamide,1
Soy protein*,Melamine,1
Soy protein*,Triuret,1
Soy protein*,Urea,1
Soybean meal,Melamine,1
Soybean oil*,Oil of non-authentic botanical origin,1
Soybean oil*,Recycled vegetable oil,1
Soybean oil*,Swill or gutter oil (refined oil from recycled food and livestock waste),1
Spike lavender oil* (Lavandula latifolia),"Eucalyptus and white camphor oil fractions, spanish sage oil",1
Split pigeon pea (toovar dal),Synthetic color,1
Split pigeon pea (toovar dal),Tartrazine,1
"Split pigeon peas (Cajanus cajan, ""ahar dal"")",Metanil  yellow,1
Tea,Leaves from non-authentic plants,1
Tea,Non-authentic variety,1
Tea,Previously used tea leaves,1
Tea,Saw dust,1
Tea,Starch,1
Tea,Turmeric,1
Tea (black),Prussian blue,1
Tea (green),Copper salts,1
Tea (partially fermented),Tea of non-authentic botanical origin,1
Tea (partially fermented),Tea of non-authentic geographic origin,1
Tea (powdered),Colored tea leaves,1
Tea leaves,Colored saw dust,1
Tea leaves,Non-authentic leaves,1
Tea leaves,Tea leaves of non-authentic botanical origin,1
Tea powder,Color additive,1
Tea tree oil (Melaleuca altenaria),"Patchouli oil, vetiver oil, and to some extent ginger oil",1
Tea tree oil (Melaleuca altenaria),Terpinen-4-ol and alpha- and gamma-terpinenes,1
Tequila,Non-authentic spirit or geographic origin,1
Tequila,Tequila (derived from non-agave fermentable sugars),1
Tequila,Tequila from non-authentic geographic origin,1
Tequila,Tequila of non-authentic age (grade),1
Tea,Leaves from Plumbago plants,1
Tea,Leaves from Indigofera plants,1
Tea,Colors,1
Strawberry puree,Sugar solution,1
"Split pigeon peas (Cajanus cajan, ""ahar dal"")",Tartrazine,1
Stevia-based sweetener,Artificial sweeteners,1
Strawberry juice,Juice from non-authentic botanical origin,1
Strawberry juice,Juice of non-authentic botanical origin,1
Strawberry puree,"Apple, plum, sugar solutions, red grape juice, and rhubarb compote",1
Strawberry puree,Fruit puree from non-authentic botanical origin,1
Strawberry puree,Plum puree,1
Strawberry puree,Red grape juice,1
Strawberry puree,Rhubarb compote,1
Sucrose (sugar),Chalk powder,1
Tea,China  clay,1
Sucrose*,Powdered stone,1
Sugar,Plastic,1
Sugar,Sugar of non-authentic geographic origin,1
Sugar (Sucrose),??,1
Sunflower oil,Palm oil,1
Sunflower oil*,Oil of non-authentic botanical origin,1
Sunflower oil*,Swill or gutter oil (refined oil from recycled food and livestock waste),1
Sweet cherries (Cereza del Jerte) fruit preparation,Fruit from non-authentic botanical origin,1
Tangerine oil* (Citrus reticula var. tangerine),"gamma-Terpinene, dimethyl anthranilate, alpha-sinesal, and perilla aldehyde to convert to Mandarin oil (Citrus reticulata var. mandarin)",1
Raisin concentrate,"Non-authentic fruit juice concentrates such as mulberry, fig, and carob bean",1
Raisin concentrate,Glucose,1
Rainbow trout fish,Non-authentic fish species,1
Milk (powder),Lactose,1
Milk (powder),Palm oil,1
Milk (powder),Pea protein,1
Milk (powder),Pork lard,1
Milk (powder),Raman,1
Milk (powder),Soybean oil,1
Milk (powder),Starch,1
Milk (powder),Sucrose,1
Milk (powder),Wheat protein,1
Milk (powdered),Melamine,1
Milk (skim milk powder),Non-authentic brand,1
Milk (skim milk powder),Pea protein,1
Milk (skim milk powder),Soy protein,1
Milk and milk derived ingredients,Milk of non-authentic geographic origin,1
Milk cheese (mawa or khoya),"Synthetic mawa (refined oil, wheat flour, semolina, milk powder, potato, sweet potato, ground rice and chestnut powder)",1
Milk fat,Canola oil,1
Milk fat,Corn oil,1
Milk fat,Cottonseed oil,1
Milk fat,Palm oil,1
Milk fat,Refined beef tallow,1
Milk fat,Soybean oil,1
Milk fat,Sunflower oil,1
Milk (powder),Maltodextrin,1
Milk (powder),Hydrolyzed leather,1
Milk fat (bovine),Hydrogenated vegetable oil,1
Milk (powder),Hydrogenated soybean oil,1
Milk (fluid),Vegetable fat,1
Milk (fluid),Wheat protein,1
Milk (fluid),Whey proteins,1
Milk (fluid),skim milk powder (reconstituted),1
"Milk (fluid, UHT)",Formaldehyde,1
"Milk (fluid, UHT)",Hydrogen peroxide,1
"Milk (fluid, UHT)",Urea,1
"Milk (fluid, bubaline)",Milk (bovine),1
"Milk (fluid, caprine)",Milk (water buffalo),1
"Milk (fluid, cow)","Milk (fluid, water buffalo)",1
"Milk (fluid, ovine)",Milk (water buffalo),1
"Milk (fluid, water buffalo)",Milk (caprine),1
"Milk (fluid, water buffalo)","Milk (fluid, cow)",1
"Milk (fluid, water buffalo)",Milk (ovine),1
"Milk (fluid, whole)",Milk from non-authentic animal species,1
"Milk (fluid, yak)",Milk (bovine),1
Milk (non-UHT),UHT milk,1
Milk (powder),Cow tallow,1
Milk (powder),Cyanuric acid,1
Milk (powder),Dextrin,1
Milk (powder),Gardenia yellow dye,1
Milk fat (bovine),Goat fat,1
Milk fat (bovine),Pig fat,1
Olive oil,Chlorophylls (copper complexes of),1
Mustard oil,Argemone oil,1
Mustard oil,Caster oil,1
Mustard oil,Castor oil,1
Mustard oil,Metanil yellow,1
Mustard oil,Mineral oil contaminated with ortho-cresyl-phosphate,1
Mustard oil,Motor oil,1
Mustard oil,Non-edible oils mixed with butter yellow and artificial flavor,1
Mustard oil,Refined rice bran oil,1
Mustard oil*,Synthetic allyl isothiocyanate,1
Mustard oil* (Brassica nigra and B. juncea),Allyl isothiocyanate,1
Mustard oil* (Brassica nigra and B. juncea),Neroli oil (Citrus aurantium subsp. aurantium),1
Mutton,Mutton of non-authentic geographic origin,1
Mutton fat,Swill or gutter oil (refined oil from recycled food and livestock waste),1
Mutton meat,Rat meat and fox meat,1
Neotame*,Non-authentic brand,1
Noodlefish,Formaldehyde,1
Noodles,Formaldehyde,1
Noodles,Tinopal,1
Nutmeg oil* (Myristica fragrans),"Nutmeg terpenes, a-pinene, limonene, and turpentine fractions",1
"Octopus, common (Octopus vulgaris)",Squid (Dosidicus gigas),1
"Octopus, common (Octopus vulgaris)",Squid (Eledone cirrhosa),1
Olibanum oil*,Oil of non-authentic botanical origin,1
Mustard oil,Argemone seed oil,1
Mustard oil,Aregmone oil with allyl isothiocyanate and mustard yellow color,1
Milk fat (water buffalo),Goat fat,1
Mustard oil,Allyl isothiocyanate and color,1
Milk fat (water buffalo),Hydrogenated vegetable oil,1
Milk fat (water buffalo),Pig fat,1
Milk ingredients,Cyanuric acid,1
Milkfat,Non-dairy fats and oils,1
Minced beef,Fat trimmings,1
Minced beef,Offal,1
Minced beef,Pork,1
Minced meat (beef),Ox offal tissue (kidney or liver),1
"Minced meat (chicken, pork, or turkey)",Meat from non-authentic species,1
Mint oil*,Oil of non-authentic botanical origin,1
Monosodium glutamate,Sodium chloride,1
Moringa oleifera leaf (powder),Grass powder,1
Moringa oleifera leaf (powder),Tea powder,1
Mulberry pekmez,Glucose syrup,1
Mulberry pekmez,High-fructose corn syrup,1
Mulberry pekmez,Sucrose syrup,1
Mushroom polysaccharide extract,Carboxymethyl cellulose,1
Mushroom polysaccharide extract,Guar gum,1
Mushroom polysaccharide extract,Maltodextrin,1
Mushroom polysaccharide extract,Water-soluble corn starch,1
Mustard,Artificially colored filler,1
Milk (fluid),Valine,1
Milk (fluid),Ureaform,1
Milk (fluid),Urea (synthetic origin),1
Milk (fluid),4- Aminotriazole,1
Milk (fluid),Alanine,1
Milk (fluid),Allantoin,1
Milk (fluid),Amidinourea,1
Milk (fluid),Aminotriazine,1
Milk (fluid),Ammelide,1
Milk (fluid),Ammeline,1
Milk (fluid),Arginine,1
Milk (fluid),Aspartic acid,1
Milk (fluid),Biurea,1
Milk (fluid),Biuret,1
Milk (fluid),Buttermilk whey,1
Milk (fluid),Cane sugar,1
Milk (fluid),Cheese whey,1
Milk (fluid),Chestnut flour,1
Milk (fluid),Choline,1
Milk (fluid),Colors,1
Milk (fluid),Cyanamide,1
Milk (fluid),Cyromazine,1
Milk (fluid),Dextrin,1
Milk (fluid),Dicyandiamide,1
Milk (fluid),Dry milk,1
Milk (fluid),Acid whey,1
Milk (fluid),3- Aminotriazole,1
Milk (fluid),Tyrosine,1
Milk (caprine),Milk (cow),1
Marzipan,Pistachio,1
Marzipan,Soy,1
May Chang berry oil (Litsea cubeba),Industrial alcohol,1
Meat,Undeclared animal and plant proteins,1
Meat meal,Soybean meal,1
Meat products,Chickpea flour,1
Meat products,Pea flour,1
Meat products,Processed animal proteins,1
Meat products,Rice flour,1
Meat products,Soy flour,1
Mei (Prunus mume) preserves,Plum fruit (Prunus salicina),1
Melon seeds,Rhodamine B,1
Mentha citrata oil,Linalol and linalyl acetate,1
Methyl eugenol (natural),Synthetic eugenol,1
Methyl salicylate (natural),Synthetic or semi-synthetic methyl salicylate,1
Mezcal,Mezcal of non-authentic age/grade,1
Milk,Formaldehyde,1
Milk,Starch,1
Milk,"Synthetic milk (urea, detergent, refined oil, caustic soda and white paint)",1
Milk,Urea,1
Milk,Water,1
Milk (fluid),"Fake milk (oil, urea, detergent, caustic soda, sugar, salt, and skim milk powder)",1
Milk (fluid),Fake milk containing sodium bicarbonate,1
Milk (fluid),Fake milk with anionic detergents,1
Milk (fluid),Fake protein powder with melamine,1
Milk (fluid),Plant proteins,1
Milk (fluid),Proline,1
Milk (fluid),Rennet whey proteins,1
Milk (fluid),Rice powder,1
Milk (fluid),Salt,1
Milk (fluid),Semicarbazide,1
Milk (fluid),Serine,1
Milk (fluid),Soda,1
Milk (fluid),Sodium carbonate,1
Milk (fluid),Sodium dodecylbenzene sulfonate,1
Milk (fluid),Sodium hydroxide,1
Milk (fluid),Sodium sulfate,1
Milk (fluid),Soybean powder,1
Milk (fluid),Soybean protein,1
Milk (fluid),Soymilk,1
Milk (fluid),Sugar,1
Milk (fluid),"Synthetic milk (caustic soda, oil, salt, sugar, urea, detegent, water)",1
Milk (fluid),"Synthetic milk comprised of water, urea, soda, sucrose, vegetable oils, skim milk powder, detergent",1
Milk (fluid),Thiourea,1
Milk (fluid),Threonine,1
Milk (fluid),Triuret,1
Milk (fluid),Phenylalanine,1
Milk (fluid),Non-potable water,1
Milk (fluid),"Non-authentic milk species (ovine, bovine, caprine, and water buffalo)",1
Milk (fluid),Lysine,1
Milk (fluid),Glutamic acid,1
Milk (fluid),Glycine,1
Milk (fluid),Guanidine,1
Milk (fluid),Histidine,1
Milk (fluid),Hydroxyproline,1
Milk (fluid),Isobutylidene diurea,1
Milk (fluid),Isoleucine,1
Milk (fluid),Lactose,1
Milk (fluid),Leucine,1
Milk (fluid),Machine oil,1
beta-Ionone (natural),Synthetic or semi-synthetic beta-ionone,1
Milk (fluid),Maltose,1
Milk (fluid),Melamine and related compounds,1
Milk (fluid),Metformin,1
Milk (fluid),Methionine,1
Milk (fluid),Milk (non-authentic species),1
Milk (fluid),Milk from non-authentic heat process,1
Milk (fluid),Milk powder,1
Milk (fluid),Nitrate,1
Milk (fluid),Non-authentic diluent,1
Olive oil,Almond oil,1
Olive oil,Copper chlorophyllin,1
Quince jelly,Apple or pear puree,1
Paprika,Sudan 1 and 4 dyes,1
Paprika,Turmeric,1
Paprika,White pepper,1
Parmasean cheese,Cellulose,1
Parmasean cheese,Potato starch,1
Partially hydrogenated vegetable oil,Aregmone oil,1
Patagonian or Argentinean hake (Merluccius hubbsi),Hake fish of non-authentic species,1
Patchouli oil (Pogostemon cablin),Gurjun balsam (Dipterocarpus spp.),1
Patchouli oil (Pogostemon cablin),Indonesian patchouli oil blended with the cheaper Chinese oil,1
Patchouli oil (Pogostemon cablin),Patchouli and vetiver distillation residues,1
Patchouli oil (Pogostemon cablin),"Vegetable oils, Hercolyn D",1
Peanut and soybean oil blend,Soybean oil,1
Peanut oil,Cottonseed oil,1
Peanut oil,Peanut flavor,1
Peanut oil,Sunflower oil,1
Peanut oil*,Oil of non-authentic botanical origin,1
Peanut oil*,Recycled vegetable oil,1
Peanut oil*,Swill or gutter oil (refined oil from recycled food and livestock waste),1
Peas (fresh),Brown peas or soybeans with green color and sodium metabisulfite,1
Peppermint oil* (Mentha piperita),Cornmint oil (Mentha antensis),1
Peppermint oil* (Mentha x piperita),Cornmint oil (Mentha arvensis),1
Peppermint oil* (Mentha x piperita),Cornmint oil from Mentha arvensis var. piperascens,1
Paprika,Sudan I dye,1
Paprika,Paprika of non-authentic geographic origin,1
Perch,Snapper,1
Paprika,Lead tetroxide,1
Origanum oil* (Origanum spp.),para-Cymene and carvacrol,1
Palm oil,Sudan dyes,1
Palm oil (vanaspati),Refined palm stearin,1
Palm oil*,Agric white oil and red color additive,1
Palm oil*,Argemone oil (Argemone Mexicana),1
Palm oil*,Caster oil,1
Palm oil*,Lipase-catalyzed interesterified lard,1
Palm oil*,Sudan IV dye,1
Palm sugar,Cane sugar,1
Palmarosa oil* (Cymbopogon martinii var. motia),Geraniol,1
Panax ginseng,Panax quinquefolius,1
Paneer cheese,Dry milk,1
Paneer cheese,Food gums,1
Paneer cheese,Refined oil,1
Paprika,Barium sulfate,1
Paprika,Brick powder,1
Paprika,Color additives,1
Paprika,Colorants,1
Paprika,Curuma,1
Paprika,Defatted paprika,1
Paprika,Lead oxide,1
Perch,Grouper,1
Perilla seed oil,Corn oil,1
Olive oil,Grape seed oil,1
Poppy seeds,Artificially colored non-authentic seed,1
Poppy seeds,Rajgeera (Amaranthus paniculatas),1
Pork fat,Beef fat,1
Potato protein,Melamine,1
Poultry feed,Burned tires,1
Poultry feed,Cotton,1
Poultry feed,Limestone,1
Poultry feed,Saw dust,1
Poultry feed,White mica,1
Povidone*,Melamine,1
Powdered milk product,Melamine,1
Prawns,Crustacean of non-authentic species,1
Processed meat product,Soybean protein,1
Pulses,Kesari dal,1
Pulses,Lead chromate,1
Pulses,Metanil  yellow,1
Pulses,Yellow dye,1
Pumpkin seed oil,Sunflower oil,1
Pumpkin seed oil,Vegetable oils of non-authentic botanical or geographic origin,1
Purple carrot juice,Juice of non-authentic botanical origin,1
Purple prickly pair juice,Juice of non-authentic botanical origin,1
Quince jam,Apple or pear puree,1
Poppy seeds,Colored seeds from non-authentic plant,1
Poppy seed oil,Sunflower oil,1
Perilla seed oil,Soybean oil,1
Pomegranate juice,Water,1
"Petitgrain oil, Paraguay type* (Citrus aurantia subsp. aurantium)","Admixture of linalol, linalyl acetate, alpha-terpineol, geranyl, and neryl acetates with trace amounts of pyrazines",1
Petitgrain oils (Citrus spp),"Other citrus leaf oils and fractions, fatty aldehydes, linalyl acetate, and orange terpenes",1
Pheasant and partridge sausuage,Chicken meat,1
Pheasant sausage,Non-authentic meat species,1
Phenylalanine (natural),Synthetic phenylalanine,1
Pigeon pea,Khesari dal (Lathyrus sativus),1
Pine needle oil* (Pinus spp.),"-Bornyl acetate, isobornyl acetate, -limonene, alpha-pinene, and camphene",1
Pineapple juice,Added sugars,1
Pineapple juice,Juice from non-authentic botanical origin,1
Pineapple juice,Juice from non-authentic fruit,1
Pinenuts,Non-authentic species,1
Pomegranate juice,Apple juice,1
Pomegranate juice,Grape derived juices or wines,1
Pomegranate juice,Grape juice and grape skin color,1
Pomegranate juice,High-fructose corn syrup,1
Pomegranate juice,Juice from non-authentic fruit,1
Pomegranate juice,Juice of non-authentic botanical origin,1
Pomegranate juice,"Non-authentic juices, sugars, and acids",1
Pomegranate juice,"Non-pomegranate anthocyanins from aronia, grape skin, elderberry, black currant, or black carrot",1
Pomegranate juice,"Sorbitol-containing fruit juices (e.g., apple, pear, cherry, or aronia",1
Pomegranate juice,Sugars (corn- or cane-derived),1
Oregano (Mediterranean),"Leaves from non-authentic botanical origin (Rhus coriaria L., Cistus spp., or Rubus spp.)",1
Oregano,"Non-authentic leaves (e.g., sumac, cistus)",1
Oregano,"Non-authentic herbs (e.g., savory, thyme)",1
Olive oil (Picual),Olive oil of non-authentic geographic origin,1
Olive oil (extra virgin),Coconut oil,1
Olive oil (extra virgin),Extra virgin olive oil from non-authentic botanical origin or geographic region,1
Olive oil (extra virgin),Extra virgin olive oil of non-authentic botanical origin,1
Olive oil (extra virgin),Grapeseed oil,1
Olive oil (extra virgin),High linoleic/oleic sunflower oil,1
Olive oil (extra virgin),Lampante or refined olive oil,1
Olive oil (extra virgin),Lard,1
Olive oil (extra virgin),Non-authentic cultivar,1
Olive oil (extra virgin),Non-authentic oil,1
Olive oil (extra virgin),Non-authentic olive oils,1
Olive oil (extra virgin),Olive oil,1
Olive oil (extra virgin),Olive oil from non-authentic botanical origin,1
Olive oil (extra virgin),Olive oil or olive pomace oil,1
Olive oil (extra virgin),Olive oils of non-authentic geographic origin,1
Olive oil (extra virgin),Rapeseed oil,1
Olive oil (extra virgin),Seed oil,1
Olive oil (extra virgin),Seed oils,1
Olive oil (extra virgin),Sesame oil,1
Olive oil (extra virgin),Vegetable oils rich in linoleic acid,1
Olive oil (extra virgin),Virgin olive oil and other vegetable oils,1
Olive oil (pomace),Soybean oil,1
Olive oil (Virgin),Olive oil from non-authentic geographic origin,1
Olive oil (Koroneiki),Olive oil of non-authentic geographic origin,1
Oregano,Leaves from sumac,1
Olive oil (Coratina),Olive oil of non-authentic geographic origin,1
Olive oil,Grapeseed oil,1
Olive oil,Grapeseed oil (desterolilzed),1
Olive oil,High oleic sunflower oil,1
Olive oil,Lampante or refined olive oil,1
Olive oil,Linseed oil,1
Olive oil,Lubricating oil contaminted with ortho-cresyl phophate,1
Olive oil,"Mixture of sunflower oil, chlorophyll, and beta-carotene",1
Olive oil,Mustard oil,1
Olive oil,Oils of non-authentic botanical or geographic origin,1
Olive oil,Olive oil from non-authentic botanical origin,1
Olive oil,Olive oil from non-authentic geographic origin,1
Olive oil,Olive oils of non-authentic botanical or geographic origin,1
Olive oil,Palm oil (desterolilzed),1
Olive oil,Perilla oil,1
Olive oil,Soy oil,1
Olive oil,Soybean oil (desterolilzed),1
Olive oil,Sunflower oil (desteroled),1
Olive oil,Sunflower oil (desterolilzed),1
Olive oil,Swill or gutter oil (refined oil from recycled food and livestock waste),1
Olive oil,Vegetable oils of non-authentic botanical or geographic origin,1
Olive oil (Arbequina),Olive oil of non-authentic geographic origin,1
Olive oil (virgin),Canola oil,1
Olive oil (virgin),High-oleic seed oil of non-authentic botanical origin,1
Olive oil (virgin),Peanut oil,1
Olive oil (virgin),Rapeseed oil,1
Orange juice,Mixture of high-fructose corn syrup and water,1
Orange juice,Mixture of sugar (cane or corn) and water,1
Orange juice,Non-authentic aroma compounds,1
Orange juice,Non-authentic juice,1
Orange juice,"Non-authentic juices (e.g., grapefruit juice)",1
Orange juice,Non-authentic sugars,1
Orange juice,Non-authentic sweeteners,1
Orange juice,Orange pulpwash plus synthetic sugar/acid mixture,1
Orange juice,Paprika extract (color),1
Orange juice,Sucrose,1
Orange juice,Tangelo juice,1
Orange juice,Tangerine or mandarin juice,1
Orange juice (fresh-squeezed),Reconstituted orange juice,1
Orange juice concentrate,Sugar,1
Orange oil*,Non-authentic citrus oil,1
"Orange oil, Sweet, Florida type",Sweet orange oil Brazil,1
"Orange oil, bitter* (Citrus aurantium L.)",Grapefruit oil,1
"Orange oil, bitter* (Citrus aurantium L.)",Lemon oil,1
"Orange oil, bitter* (Citrus aurantium L.)",Lime oil,1
"Orange oil, bitter* (Citrus aurantium L.)",Sweet orange oil,1
Oregano,Leaves from cistus,1
Orange juice,"Mixture of beet sugar, pulp wash, amino and citric acids, and natamycin",1
Orange juice,"Mixture of beet sugar, corn sugar, monosodium glutamate, ascorbic acid, potassium sulfate, orange pulp wash, grapefruit solids, and a byproduct from a water distillation system",1
Orange juice,Marigold flower extract (Tagetes erecta),1
Onion oil (natural),Low-quality onion oil combined with sulfur compounds,1
Olive oil (virgin),Refined oils,1
Olive oil (virgin),Walnut oil,1
Olive oil and sunflower oil blend,Canola oil and soybean oil,1
Olive oils,Sunflower oil,1
Olive oils,Vegetable oils on non-authentic botanical origin,1
Olive pomace oil,Cottonseed oil,1
Olives (Taggiasca cultivar),Olives (Coquillo cultivar),1
Olives (Taggiasca cultivar),Olives (Leccino cultivar),1
Olives (green),Copper chlorophyllin,1
Onion oil* (Allium cepa),Aliphatic sulphide mixtures,1
Orange juice,Lemon juice,1
Orange juice,Beet sugar,1
Orange juice,Beta-apo-8'-carotenal,1
Orange juice,Beta-carotene,1
Orange juice,Citrus peel extract,1
Orange juice,Grapefruit juice plus synthetic sugar/acid mixture,1
Orange juice,"High-fructose corn syrup, cane sugar hydrolysates, or beet sugar hydrolysates",1
Orange juice,Juice from non-authentic botanical origin,1
Orange juice,Juice from non-authentic fruit,1
Orange juice,Juice from non-authentic geographic origin,1
(E)-alpha-Ionone (natural),Synthetic or semi-synthetic (E)-alpha-ionone,1
