adulterant,product,category,instances
sulphite,pickled chopped cabbage (sauerkraut),fruits and vegetables,1
sulphite,pickled bamboo shoots,fruits and vegetables,1
sulphite,peppers in vinegar,fruits and vegetables,1
sulphite,peppers in brine (capsicum),fruits and vegetables,1
sulphite,pepper sauce,"soups, broths, sauces and condiments",1
sulphite,peeled prawns,crustaceans and products thereof,1
sulphite,peaches - dried,fruits and vegetables,1
sulphite,pasteurised peppers in glass jars,fruits and vegetables,1
sulphite,parapenaeus longirostris,crustaceans and products thereof,1
sulphite,palm seed in syrup,"nuts, nut products and seeds",1
sulphite,organic dried dates,fruits and vegetables,1
sulphite,organic coconut flour,"nuts, nut products and seeds",1
sulphite,organic carbonated apple juice drink,non-alcoholic beverages,1
sulphite,orange flavoured water based ice cream,confectionery,1
sulphite,nut mixture,"nuts, nut products and seeds",1
sulphite,nut and fruit mixture,"nuts, nut products and seeds",1
sulphite,nut and berry mix,fruits and vegetables,1
sulphite,norway lobsters (nephrops norvegicus),crustaceans and products thereof,1
sulphite,norway lobster (nephrops norvegicus),crustaceans and products thereof,1
nitrite,table water with added carbon dioxide,water for human consumption (other),1
nitrite,standard salt,"soups, broths, sauces and condiments",1
nitrite,raw salted bovine meat product,meat and meat products (other than poultry),1
lead,freshwater algae,"dietetic foods, food supplements, fortified foods",1
lead,glucosamine sulphate tablets,"dietetic foods, food supplements, fortified foods",1
lead,ginseng root and ginseng root in powder,herbs and spices,1
lead,garlic powder,herbs and spices,1
lead,gari (manioc semolina) and dried attieke(pounded fermented manioc),cereals and bakery products,1
lead,frozen raspberries,fruits and vegetables,1
lead,frozen rabbit haunches (with bones),meat and meat products (other than poultry),1
lead,frozen onion cut in cubes,fruits and vegetables,1
lead,frozen hares (lepus spp.),meat and meat products (other than poultry),1
lead,frozen cephalopodes (octopus vulgaris),molluscs and products thereof - (obsolete),1
lead,frozen blueberry,fruits and vegetables,1
lead,frozen bilberries (vaccinium myrtillus),fruits and vegetables,1
lead,frozen atlantic bonito (sarda sarda),fish and fish products,1
lead,fresh watermelons,fruits and vegetables,1
lead,green hot peppers,herbs and spices,1
lead,fresh tuna fillets,wild caught fish and products thereof (other than crustaceans and molluscs) - (obsolete),1
lead,fresh pig meat,meat and meat products (other than poultry),1
lead,food supplement containing ginkgo biloba powder,"dietetic foods, food supplements, fortified foods",1
lead,food supplement (chlorella vulgaris),"dietetic foods, food supplements, fortified foods",1
lead,durum wheat,cereals and bakery products,1
lead,dried peas,fruits and vegetables,1
lead,dried nettle,herbs and spices,1
lead,dried fruit in jars,fruits and vegetables,1
lead,deer meat - frozen,meat and meat products (other than poultry),1
lead,cuttlefish,molluscs and products thereof - (obsolete),1
lead,cranberry beans,fruits and vegetables,1
lead,consumption salt,herbs and spices,1
lead,granulated tea,"cocoa and cocoa preparations, coffee and tea",1
lead,green lentils,fruits and vegetables,1
lead,chinese green tea,"cocoa and cocoa preparations, coffee and tea",1
lead,migration of lead (103.9 mg/l),food contact materials,1
lead,migration of lead (28.5 mg/dmå_),food contact materials,1
lead,migration of lead (24 mg/l),food contact materials,1
lead,migration of lead (21.3 mg/kg - ppm),food contact materials,1
lead,migration of lead (2.287; 2.383; 0.512; 0.509; 0.608; 0.244 mg/dmå_),food contact materials,1
lead,migration of lead (2.234 mg/dmå_),food contact materials,1
lead,migration of lead (2.19; 2.75; 2.55 mg/l),food contact materials,1
lead,"migration of lead (2,497 mg/l) and of nickel (28,0 mg/l)",food contact materials,1
lead,migration of lead (190.6 mg/l),food contact materials,1
lead,migration of lead (17.5-28.7; 8.1-14.6; 7-10 mg/dmå_),food contact materials,1
lead,migration of lead (15.6 mg/l),food contact materials,1
lead,migration of lead (13.6; 1.42; 2.63; 6.25; 9.83; 4.07 mg/l),food contact materials,1
lead,migration of lead (11.243 mg/l; 1.5mg/dmå_; 6.39 mg/dmå_),food contact materials,1
lead,migration of lead (1.83 mg/l),food contact materials,1
lead,herbal tea,"cocoa and cocoa preparations, coffee and tea",1
lead,migration of lead (1.45; 1.39; 1.48; 1.57 mg/dmå_),food contact materials,1
lead,migration of lead (1.229; 1.627; 3.970; 4.201; 1.827; 4.163 mg/dmå_),food contact materials,1
lead,migration of lead (1.2 mg/dmå_),food contact materials,1
lead,migration of lead (1.2 <--> 2.2; 0.84 <--> 1.3; also 9.6 <--> 14.1 mg/l mg/dmå_),food contact materials,1
lead,migration of lead (1.15; 6.94; 11.9 mg/dmå_),food contact materials,1
lead,melon pulp,non-alcoholic beverages,1
lead,meat and vegetable masala,herbs and spices,1
lead,lotus leaves,fruits and vegetables,1
lead,long grain boil-in-bag rice,cereals and bakery products,1
lead,live mussels (modiolus barbatus),bivalve molluscs and products thereof,1
lead,liquorice-flavoured toffees,confectionery,1
lead,herbo calcium,"dietetic foods, food supplements, fortified foods",1
lead,cocoa powder,"cocoa and cocoa preparations, coffee and tea",1
lead,chilled sea bream (sparus aurata),fish and fish products,1
mercury,chilled filets of swordfish (xiphias gladius),fish and fish products,1
iodine,dried seaweed (intended for decoration),fruits and vegetables,1
iodine,sea kale salad with salmon,other food product / mixed,1
iodine,sea kale salad - canned,fruits and vegetables,1
iodine,sea kale salad (seaweed),fruits and vegetables,1
iodine,sea cabbage in oil,fruits and vegetables,1
iodine,sea algae and seakale products,fruits and vegetables,1
iodine,roasted seaweed,fruits and vegetables,1
iodine,roasted sea weed,fruits and vegetables,1
iodine,food supplement based on algae and minerals,"dietetic foods, food supplements, fortified foods",1
iodine,dry matter mg/kg - ppm) in algae,fruits and vegetables,1
iodine,dried sliced seaweed,fruits and vegetables,1
iodine,dried seaweed slices,fruits and vegetables,1
iodine,dried seaweed mix,fruits and vegetables,1
iodine,dried seaweed,other food product / mixed,1
iodine,seaweed for soup,herbs and spices,1
iodine,dried seatangle,fruits and vegetables,1
iodine,dried sea weed,herbs and spices,1
iodine,dried organic seaweed,fruits and vegetables,1
iodine,dried chopped seaweed,fruits and vegetables,1
iodine,dried black algae,fruits and vegetables,1
iodine,dried algae (undaria pinnatifida),fruits and vegetables,1
iodine,dried algae (seaweed),fruits and vegetables,1
iodine,dietary supplements,"dietetic foods, food supplements, fortified foods",1
iodine,cut dried seaweed,fruits and vegetables,1
iodine,complete food supplement,"dietetic foods, food supplements, fortified foods",1
iodine,canned vegetable salad,fruits and vegetables,1
iodine,canned seaweed in spicy marinade with raw material,fruits and vegetables,1
iodine,seaweed based food supplement,"dietetic foods, food supplements, fortified foods",1
iodine,seaweeds salads,fruits and vegetables,1
lead,chilled roe venison salami,meat and meat products (other than poultry),1
lactose,instant coffee,"dietetic foods, food supplements, fortified foods",1
lead,celeriac,fruits and vegetables,1
lead,capsules containing silica,"dietetic foods, food supplements, fortified foods",1
lead,canned stuffed olives,fruits and vegetables,1
lead,canned peaches,fruits and vegetables,1
lead,canned olives stuffed with spicy chilli paste,fruits and vegetables,1
lead,calabash chalk,"dietetic foods, food supplements, fortified foods",1
lead,buckwheat flour,cereals and bakery products,1
lead,bentonite powder,"dietetic foods, food supplements, fortified foods",1
lead,beef,meat and meat products (other than poultry),1
lead,bango beans,fruits and vegetables,1
lead,arbutus in syrup,fruits and vegetables,1
lactose,low calory sweetener for diabetic people,"dietetic foods, food supplements, fortified foods",1
l-tryptophan,side effects,other food product / mixed,1
iodine,seitan,cereals and bakery products,1
konjac,tropical mini cup jelly,confectionery,1
konjac,assorted flavours mixed fruit jelly cups,confectionery,1
kerosene oil,paradise slices (bakery products),cereals and bakery products,1
jelly mini-cups containing agar e 406,suffocation risk as a result of the consumption of jelly mini-cups containing unauthorised agar e 406,confectionery,1
irradiation,food supplement,"dietetic foods, food supplements, fortified foods",1
iron,palm oil,fats and oils,1
iron,migration of iron (detaching of the non-stick coating),food contact materials,1
iron,migration of iron (8900 mg/l),food contact materials,1
iron,migration of iron,food contact materials,1
iodine,yaki nori seaweed for sushi,fruits and vegetables,1
iodine,soy milk product,fruits and vegetables,1
iodine,sliced dried seaweed,fruits and vegetables,1
lead,migration of lead (3.1-3.7 mg/dmå_),food contact materials,1
lead,migration of lead (4 mg/dmå_),food contact materials,1
lead,migration of lead (4.4-9.6 mg/dmå_),food contact materials,1
melamine,peanut crackers,"nuts, nut products and seeds",1
melamine,strawberry and chocolate biscuit,cereals and bakery products,1
melamine,stick biscuit with milk chocolate,cereals and bakery products,1
melamine,stick biscuit with dark chocolate,cereals and bakery products,1
melamine,soybean snack,confectionery,1
melamine,soy isoflavones for use in food supplement,"dietetic foods, food supplements, fortified foods",1
melamine,soft creamy candies,confectionery,1
melamine,salty sticks,cereals and bakery products,1
melamine,roasted nuts,"nuts, nut products and seeds",1
melamine,rice chilli crackers,cereals and bakery products,1
melamine,red bean flavour creamy candies,confectionery,1
melamine,red bean creamy candies & biscuits,confectionery,1
melamine,potato chips,other food product / mixed,1
melamine,peanut crackers,cereals and bakery products,1
melamine,strawberry biscuits,cereals and bakery products,1
melamine,oriental mix,cereals and bakery products,1
melamine,milk products and attempt to illegally import milk and animal products,meat and meat products (other than poultry),1
melamine,milk cookies,cereals and bakery products,1
melamine,melon flavoured creamy candies,confectionery,1
melamine,lemon puff biscuits,cereals and bakery products,1
melamine,lemon crackers,cereals and bakery products,1
melamine,leavening agent ammonium carbonate (e 503),food additives and flavourings,1
melamine,"chocolate, strawberry and melon biscuits",cereals and bakery products,1
melamine,chocolate product,confectionery,1
melamine,chocolate novelty products,confectionery,1
melamine,chocolate cookies,cereals and bakery products,1
melamine,chocolate biscuit,cereals and bakery products,1
melamine,strawberry and lemon flavoured cream wafers,cereals and bakery products,1
melamine,strawberry flavour stick biscuits,confectionery,1
lead,migration of lead (4.9; 7.1; 6.3; 4.3 mg/l),food contact materials,1
mercury,butterfish,fish and fish products,1
mercury,chilled dogfish (mustelus mustelus),fish and fish products,1
mercury,chilled dentex angolensis,fish and fish products,1
mercury,chilled dentex,fish and fish products,1
mercury,chilled comet grouper (epinephelus morrhua),fish and fish products,1
mercury,chilled breams (diplodus sargus),fish and fish products,1
mercury,chilled bluefin gurnard (chelidonichthys kumu),fish and fish products,1
mercury,chilled black scabbardfish (aphanopus carbo),fish and fish products,1
mercury,chilled black cod (anoplopoma fimbria),fish and fish products,1
mercury,chilled amberjack (seriola spp),fish and fish products,1
mercury,canned tuna (eythynnus alleratus),fish and fish products,1
mercury,butterfish - whole frozen,fish and fish products,1
mercury,butterfish - whole fresh frozen,fish and fish products,1
mercury,boneless skinless grouper,fish and fish products,1
melamine,strawberry flavoured creamy candies,confectionery,1
mercury,blue shark slices (prionace glauca),fish and fish products,1
mercury,blue marlin (makaira mazara),fish and fish products,1
mercury,black scabbard fish (aphanopus carbo),fish and fish products,1
mercury,black marlin (mkaira indica),fish and fish products,1
mercury,angler fish (lophius piscatorius),fish and fish products,1
mercury,and parasitic infestation with tapeworms of fresh swordfish fillets (xiphias gladius),fish and fish products,1
mercury,and parasitic infestation of swordfish (xiphias gladius),fish and fish products,1
melatonin,protein food supplement,"dietetic foods, food supplements, fortified foods",1
melatonin,fruit punch,"dietetic foods, food supplements, fortified foods",1
melatonin,food supplement for sleep regulation,"dietetic foods, food supplements, fortified foods",1
melamine,strawberry-flavour creamy candies,confectionery,1
melamine,strawberry flavoured roll cake,cereals and bakery products,1
melamine,chocolate and strawberry flavour body pen sets,confectionery,1
melamine,chestnut cookies,cereals and bakery products,1
melamine,chestnut and chocolate biscuit,cereals and bakery products,1
lead,pickled cabbage with bamboo shoots,fruits and vegetables,1
lead,slices of chilled fresh tuna (thunnus albacares),fish and fish products,1
lead,sliced fresh chilled tuna,fish and fish products,1
lead,shrimps tails,crustaceans and products thereof,1
lead,rice,cereals and bakery products,1
lead,refrigerated tuna fillets (thunnus albacares),wild caught fish and products thereof (other than crustaceans and molluscs) - (obsolete),1
lead,reddish-orange capsules of food supplement,"dietetic foods, food supplements, fortified foods",1
lead,red lettuce leaves,fruits and vegetables,1
lead,red deer meat (cervus elaphus),meat and meat products (other than poultry),1
lead,propolis,"dietetic foods, food supplements, fortified foods",1
lead,preserved cabbage,fruits and vegetables,1
lead,pomegranate juice,non-alcoholic beverages,1
lead,pig fat,fats and oils,1
lead,peaches in syrup,fruits and vegetables,1
melamine,cheese & onion flavoured potato crisps,prepared dishes and snacks,1
lead,pate with pheasant and venison meat,meat and meat products (other than poultry),1
lead,moringa oleifera food supplement,"dietetic foods, food supplements, fortified foods",1
lead,"migration of lead (glass: 0,22 rim: 10,6 mg/dmå_)",food contact materials,1
lead,migration of lead (9.4 mg/l),food contact materials,1
lead,migration of lead (7.32 mg/dmå_),food contact materials,1
lead,migration of lead (6.9 mg/l),food contact materials,1
lead,migration of lead (6 mg/dmå_),food contact materials,1
lead,migration of lead (520 + 60 + 2000 + 170 mg/l),food contact materials,1
lead,migration of lead (5.80; 4.31; 6.36 mg/dmå_),food contact materials,1
lead,migration of lead (5.7; 10.9; 25.1 mg/dmå_),food contact materials,1
lead,migration of lead (5.7 mg/dmå_) and of cobalt (0.5 mg/dmå_),food contact materials,1
lead,migration of lead (5.4 åµg/dmå_),food contact materials,1
lead,sweets,confectionery,1
lead,swordfish,fish and fish products,1
lead,tomato purÌ©e canned concentrated,fruits and vegetables,1
lead,tomatoes,fruits and vegetables,1
melamine,cappuccino flavour biscuits,cereals and bakery products,1
melamine,biscuits,cereals and bakery products,1
melamine,bean powder,cereals and bakery products,1
melamine,bbq flavoured peanut crackers,cereals and bakery products,1
melamine,ammonium bicarbonate baking agent,cereals and bakery products,1
melamine,ammonium bicarbonate (e503ii),food additives and flavourings,1
melamine,almond and chocolate flavour stick biscuits,confectionery,1
manganese,migration of manganese (1) o.69; 0.51 2) 0.53; 0.51 3) 0.49; 0.53 mg/l),food contact materials,1
manganese,migration of manganese (0.39 mg/l),food contact materials,1
manganese,migration of manganese (0.19 mg/l),food contact materials,1
mammalian protein,"meat, egg and dairy products",fruits and vegetables,1
lysozyme,lysozyme (e 1105) not labelled on cured cheese,milk and milk products,1
lycopene,coconut jelly and unauthorised use of colour e 150 - caramel and of e 202 - potassium sorbate in tapioca pearls,other food product / mixed,1
lithium,drinkable food supplement,"dietetic foods, food supplements, fortified foods",1
linoleic acid,meal replacement,"dietetic foods, food supplements, fortified foods",1
lead oxide,paprika,herbs and spices,1
lead,zeolite powder,"dietetic foods, food supplements, fortified foods",1
lead,yellow peas,fruits and vegetables,1
lead,walnuts without shell,"nuts, nut products and seeds",1
lead,walnuts in shell,"nuts, nut products and seeds",1
lead,walnuts,"nuts, nut products and seeds",1
lead,vinegar,"soups, broths, sauces and condiments",1
lead,vegetables pickled in vinegar,fruits and vegetables,1
lead,tuna (thunnus albacares),fish and fish products,1
lead,tulip mussel (modiolus barbatus),bivalve molluscs and products thereof,1
iodine,canned algae salad,fruits and vegetables,1
iodine,brown seaweed capsules,"dietetic foods, food supplements, fortified foods",1
iodine,baby food,"dietetic foods, food supplements, fortified foods",1
erucic acid,mixed pickle (in oil),"soups, broths, sauces and condiments",1
erucic acid,oil) in preserved vegetables,fruits and vegetables,1
erucic acid,oil) in mango pickle,"soups, broths, sauces and condiments",1
erucic acid,oil) in karela pickle in oil,fruits and vegetables,1
erucic acid,oil) in chilli pickle and mixed pickle,"soups, broths, sauces and condiments",1
erucic acid,oil) in chilli black bean sauce and preserved vegetables,"soups, broths, sauces and condiments",1
erucic acid,oil %) in mixed pickle,"soups, broths, sauces and condiments",1
erucic acid,oil %) in mango pickle,"soups, broths, sauces and condiments",1
erucic acid,oil %) in mango hot pickle,"soups, broths, sauces and condiments",1
erucic acid,oil %) in hot pepper sauce,"soups, broths, sauces and condiments",1
erucic acid,oil %) in green chilli pickle,"soups, broths, sauces and condiments",1
erucic acid,oil %) in black bean sauce,"soups, broths, sauces and condiments",1
erucic acid,mixed pickle oil,fats and oils,1
erucic acid,mango hot pickle,fruits and vegetables,1
erucic acid,olive pickle and mixed pickle,fruits and vegetables,1
erucic acid,lemon pickle & garlic pickle,fruits and vegetables,1
erucic acid,lemon pickle,"soups, broths, sauces and condiments",1
erucic acid,lemon pickle,fruits and vegetables,1
erucic acid,kerala pickle,fruits and vegetables,1
erucic acid,green chillie pickles,fruits and vegetables,1
erucic acid,garlic pickle oil,fats and oils,1
erucic acid,garlic pickle,herbs and spices,1
erucic acid,canned vegetables,fruits and vegetables,1
erucic acid,blended mustard oil,fats and oils,1
epigallocathechine gallate,coffee based food supplement,"dietetic foods, food supplements, fortified foods",1
enterobacteriaceae,dried infant formulae (1 to 3 months old),"dietetic foods, food supplements, fortified foods",1
e 260 synthetic acetic acid,white vinegar,"soups, broths, sauces and condiments",1
erucic acid,oil) in tofu,fruits and vegetables,1
erucic acid,pickled olives,fruits and vegetables,1
erythrosine,instant drink powder,non-alcoholic beverages,1
erythrosine,cake decoration,confectionery,1
erythrosine,grape seed extract capsules,"dietetic foods, food supplements, fortified foods",1
erythrosine,ginger in vinegar,herbs and spices,1
erythrosine,fruit slices,fruits and vegetables,1
erythrosine,fruit flavour rolls,confectionery,1
erythrosine,fruit flavour dragees,confectionery,1
erythrosine,dried tapioca sticks,cereals and bakery products,1
erythrosine,cupcake,confectionery,1
erythrosine,crackers,cereals and bakery products,1
erythrosine,coloured candy beads on a string,confectionery,1
erythrosine,chocolate biscuit,"cocoa and cocoa preparations, coffee and tea",1
erythrosine,candy,confectionery,1
erythrosine,cake decoration,other food product / mixed,1
erythrosine,bubble gum balls,confectionery,1
erucic acid,pickles,"soups, broths, sauces and condiments",1
erythrosine,bubble gum,confectionery,1
erythrosine,biscuits,cereals and bakery products,1
erythrosine,basil seed drink with rose flavour,non-alcoholic beverages,1
erythrosine,assorted fruit flavoured candies: fruit hard candy and jelly beans,confectionery,1
erythrosine,agar dessert mix with flower flavouring,ices and desserts,1
erythrosine,agar dessert mix,confectionery,1
erythorbic acid,pickled vegetable,fruits and vegetables,1
erucic acid,taara mira oil,fats and oils,1
erucic acid,soybean,fruits and vegetables,1
erucic acid,satkora pickle,fruits and vegetables,1
erucic acid,satkara hot pickle,"soups, broths, sauces and condiments",1
erucic acid,red chillies in oil,fruits and vegetables,1
duck protein,sweet potato snack,prepared dishes and snacks,1
doxylamine,sleeping syrup,"dietetic foods, food supplements, fortified foods",1
disodium ethylene diamine tetra acetate,mustard sauce,"soups, broths, sauces and condiments",1
dioxins,cod liver: 3.96 pg who teq/g) in smoked cod liver in own oil and juice,fish and fish products,1
dioxins,foodsupplement on the basis of tuna-oil in capsules,"dietetic foods, food supplements, fortified foods",1
dioxins,food supplement containing cod liver oil,"dietetic foods, food supplements, fortified foods",1
dioxins,fish oil supplements,"dietetic foods, food supplements, fortified foods",1
dioxins,fish oil preparation,fats and oils,1
dioxins,feed for laying hens,eggs and egg products,1
dioxins,fat pg te/g) in living bovine animals for fattening,meat and meat products (other than poultry),1
dioxins,eggs (organic production),eggs and egg products,1
dioxins,eggs,eggs and egg products,1
dioxins,egg products,eggs and egg products,1
dioxins,dried basil,herbs and spices,1
dioxins,depolymerised guar gum,food additives and flavourings,1
dioxins,concentrated fish body oil,"dietetic foods, food supplements, fortified foods",1
dioxins,cod liver oil capsules,"dietetic foods, food supplements, fortified foods",1
disodium diphosphate,potato croquettes,prepared dishes and snacks,1
dioxins,cod liver in oil and own juice,fish and fish products,1
dioxins,cod liver in oil,fish and fish products,1
dioxins,coconut fat acid distillate,fats and oils,1
dioxins,chilled sow half carcasses,meat and meat products (other than poultry),1
dioxins,chilled lamb's liver,meat and meat products (other than poultry),1
dioxins,chilled crab,crustaceans and products thereof,1
dioxins,chilled cod liver,fish and fish products,1
dioxins,chicken meat and eggs,poultry meat and poultry meat products,1
dioxins,canned liver of atlantic cod (gadus morhua),fish and fish products,1
dioxins,canned cod liver in sauce,fish and fish products,1
dioxins,canned cod liver in own oil and juice,fish and fish products,1
dioxins,canned cod liver,fish and fish products,1
dioxins,fresh baltic salmon (salmo salar),fish and fish products,1
dioxins,frozen cooked crabs (cancer pagurus),crustaceans and products thereof,1
dioxins,frozen lamb meat,meat and meat products (other than poultry),1
dioxins,frozen pork,meat and meat products (other than poultry),1
disodium diphosphate,minced poultry and beef meat for kebab,meat and meat products (other than poultry),1
diphosphate,chilled vacuum packed yellow fin tuna,fish and fish products,1
diphosphate,chilled sea scallops (placopectin magellanicus),bivalve molluscs and products thereof,1
dioxins,"the shrimpshell 0,495 in the crab butter ng/kg - ppt) in crab butter",milk and milk products,1
dioxins,stewed monkfish liver,fish and fish products,1
dioxins,smoked cod liver in own oil and juice,fish and fish products,1
dioxins,smoked cod liver in own oil,fish and fish products,1
dioxins,poultry meat,poultry meat and poultry meat products,1
dioxins,pork fillets,meat and meat products (other than poultry),1
dioxins,pig meat,meat and meat products (other than poultry),1
dioxins,oil: 16.82 pg who teq/g) in cod liver in its own oil and juice,fish and fish products,1
dioxins,oil between 11.2 and 22 pg who teq/g) and dioxin-like polychlorobifenyls in cod liver chunks in own oil,fish and fish products,1
dioxins,oil 4.83 pg who teq/g) and dioxin-like polychlorobifenyls in smoked cod liver in own oil,fish and fish products,1
dioxins,oil 17.19 pg who teq/g) and dioxin-like polychlorobifenyls (in cod liver 41.21; in oil 140.02 pg who teq/g) in smoked cod liver in its own oil and juice,fish and fish products,1
dioxins,oil 16.13 pg who teq/g) in smoked cod liver in its own oil and juice,fish and fish products,1
dioxins,oil 15.86 pg who teq/g) and dioxin-like polychlorobifenyls in smoked cod liver in its own oil and juice,fish and fish products,1
dioxins,oil 15.35 pg who teq/g) and dioxin-like polychlorobifenyls (in cod liver 646.77; in oil 118.79 pg who teq/g) in smoked cod liver in its own oil and juice,fish and fish products,1
dioxins,liver: 24.06; 30.83; 19.27 pg who teq/g) in canned cod liver in oil,fish and fish products,1
dioxins,liver 7.26 pg who teq/g) and dioxin-like polychlorobifenyls (in oil 33.13; in liver 98.45 pg who teq/g) in monkfish liver,fish and fish products,1
dioxins,laying hens,poultry meat and poultry meat products,1
dioxins,"hatching eggs, day old chicks and fattening chicks for slaughter and chicken carcasses",poultry meat and poultry meat products,1
dioxins,green clay,"dietetic foods, food supplements, fortified foods",1
dioxins,frozen stewed monkfish liver,fish and fish products,1
dioxins,frozen smoked eels (anguilla anguilla),fish and fish products,1
dioxins,frozen sardines,fish and fish products,1
erythrosine,individually packed mint candies,confectionery,1
erythrosine,instant tea powder,"cocoa and cocoa preparations, coffee and tea",1
iodine,and insufficient labelling (missing instructions for use) of seaweed,fruits and vegetables,1
gamma-aminobutyric acid,food supplement,"dietetic foods, food supplements, fortified foods",1
gluten,sweets on the basis of nuts,confectionery,1
gluten,sausage,meat and meat products (other than poultry),1
gluten,salami,meat and meat products (other than poultry),1
glutamic acid,smoked squid,molluscs and products thereof - (obsolete),1
glutamic acid,dry squid,molluscs and products thereof - (obsolete),1
glutamic acid,dried squid,molluscs and products thereof - (obsolete),1
glutamic acid,dried octopus,molluscs and products thereof - (obsolete),1
glutamates,sweets,confectionery,1
ginger,food supplement for pregnant women,"dietetic foods, food supplements, fortified foods",1
"germanium, lithium",food supplement,"dietetic foods, food supplements, fortified foods",1
garcinia cambogia desr,food supplement,"dietetic foods, food supplements, fortified foods",1
gammahydroxibutyrate,food supplement,"dietetic foods, food supplements, fortified foods",1
gamma butyrolactone,dietary supplements,"dietetic foods, food supplements, fortified foods",1
glycine,food supplement,"dietetic foods, food supplements, fortified foods",1
fumaric acid,sour chuby bubble gum,confectionery,1
fumaric acid,fruit flavored chewy candies,confectionery,1
"zinc amino acid chelate, selenium amino acid chelate, calcium amino acid chelate, magnesium amino acid chelate",food supplement,"dietetic foods, food supplements, fortified foods",1
fruit jelly mix,suffocation risk as a result of the consumption of fruit jelly mix,confectionery,1
frozen whole cleaned cuttlefish,unauthorised use of hydrogen peroxide for decontamination of frozen whole cleaned cuttlefish (sepia pharaonis),cephalopods and products thereof,1
frozen turkey breast,diesel oil on packaging of frozen turkey breast,poultry meat and poultry meat products,1
free fatty acids,palm oil,fats and oils,1
formol,mushrooms - fresh,fruits and vegetables,1
formol,batches of vanilla,herbs and spices,1
food supplements,food supplement,"dietetic foods, food supplements, fortified foods",1
food supplement,food supplement,"dietetic foods, food supplements, fortified foods",1
food supplement,bacterial contamination of unauthorised food supplement,"dietetic foods, food supplements, fortified foods",1
gluten,turkey sandwich,prepared dishes and snacks,1
glycine,frozen soles (solea solea),fish and fish products,1
erythrosine,japanese rice crackers,"nuts, nut products and seeds",1
histamine,and suspicion of carbon monoxide treatment (240 g/kg) of vacuum packed tuna (tunnus albacares),fish and fish products,1
inner coating peeling off,inner coating peeling off and migration of iron (1.70 mg/kg - ppm),food contact materials,1
inner coating peeling off,inner coating peeling off,food contact materials,1
indigotine / indigo carmine,pasteurized black caviar,fish and fish products,1
indigotine / indigo carmine,food supplement,"dietetic foods, food supplements, fortified foods",1
illegal trade of,canned fried dace,fish and fish products,1
illegal import of,canned milk for children,milk and milk products,1
"idebenone, vinpocetine, vincamine",food supplement,"dietetic foods, food supplements, fortified foods",1
hydrogen peroxide,semolina pudding and cream pudding,ices and desserts,1
hydrogen peroxide,milk rice,milk and milk products,1
hydrogen peroxide,chocolate & vanilla dessert,milk and milk products,1
hydrogen peroxide,2 out of 5 pots) in vanilla chocolate pudding,milk and milk products,1
histamine,vacuum packed sashimi tuna fillets,fish and fish products,1
histamine,and carbon monoxide treatment of tuna (thunnus albacares),fish and fish products,1
green s,jelly sweets,confectionery,1
histamine,and carbon monoxide treatment (presence) of vacuum packed frozen tuna loins,fish and fish products,1
histamine,and carbon monoxide treatment (558 åµg/kg - ppb) of frozen tuna,fish and fish products,1
histamine,and carbon monoxide treatment (410 mg/kg - ppm) of sliced chilled tuna,fish and fish products,1
histamine,and carbon monoxide treatment (400 åµg/kg - ppb) of chilled tuna (thunnus albacares),fish and fish products,1
histamine,and carbon monoxide treatment (1.30 mg/kg - ppm) of slices of fresh tuna (thunnus obesus),fish and fish products,1
hexamethylene tetramine,red caviar,fish and fish products,1
hexamethylene tetramine,canned salmon spawn,fish and fish products,1
herbs,food supplement (bright eye rehmannia),"dietetic foods, food supplements, fortified foods",1
heavy metals,silverplated cups,food contact materials,1
heavy metals,herbal products,fruits and vegetables,1
guaiacol,creamy dairy rice with apple pieces in syrup,prepared dishes and snacks,1
growth hormone releasing peptide -2,food supplement,"dietetic foods, food supplements, fortified foods",1
food additive white mineral oil,various candy products,confectionery,1
food additive white mineral oil,jelly gums,confectionery,1
food additive sodium polyacrylate,dried shrimp noodle,other food product / mixed,1
erythrosine,sliced pickled baby ginger in vinegar,fruits and vegetables,1
erythrosine,sweets,confectionery,1
erythrosine,surimi - japanese steamed fish roll (red kamaboko),fish and fish products,1
erythrosine,sugared almonds and other confectionaries,confectionery,1
erythrosine,sugar coated sauf,confectionery,1
erythrosine,sugar coated fennel seed,herbs and spices,1
erythrosine,strawberry flavoured cream biscuits,cereals and bakery products,1
erythrosine,strawberry flavour soft milk candy,confectionery,1
erythrosine,sprinkles,confectionery,1
erythrosine,spices,herbs and spices,1
erythrosine,spaghetti sauce,"soups, broths, sauces and condiments",1
erythrosine,spaghetti condiment,"soups, broths, sauces and condiments",1
erythrosine,sour wiggles,confectionery,1
erythrosine,sliced dried ginger,herbs and spices,1
food additive isopropyl alcohol,cake decoration food pen,confectionery,1
erythrosine,salted shrimp fry,crustaceans and products thereof,1
erythrosine,rice flour balls,cereals and bakery products,1
erythrosine,raspberry marshmallow fluff,confectionery,1
erythrosine,protein drink,"dietetic foods, food supplements, fortified foods",1
erythrosine,pickled turnip,other food product / mixed,1
erythrosine,pickled ginger,herbs and spices,1
erythrosine,pickled ginger,fruits and vegetables,1
erythrosine,orange flavour jelly,confectionery,1
erythrosine,marshmallows,confectionery,1
erythrosine,juice drink,non-alcoholic beverages,1
erythrosine,jelly drops,confectionery,1
erythrosine,jelly beans,confectionery,1
